Wall time,Step,Value
1712786536.4095502,600,11.750612258911133
1712786601.0876784,700,11.002131462097168
1712786818.5326288,1100,12.272385597229004
1712786857.372501,1200,10.045822143554688
1712786927.8701332,1400,11.35617733001709
1712786958.0465481,1500,11.431670188903809
1712786983.0047147,1600,11.724660873413086
1712787049.8456287,1900,12.273307800292969
1712787068.1715677,2000,11.362334251403809
1712787086.0011592,2100,11.565581321716309
1712787145.5060742,2500,11.590129852294922
1712787261.7825458,3400,12.085609436035156
1712787274.6549156,3500,10.92555046081543
1712787300.3804362,3700,11.514762878417969
1712787352.7577994,4100,12.48065185546875
1712787379.6410916,4300,13.472312927246094
1712787405.9755468,4500,10.672263145446777
1712787419.2810063,4600,12.188972473144531
1712787446.0951693,4800,11.913041114807129
1712787473.2004104,5000,11.33627986907959
1712787487.1099505,5100,13.161657333374023
1712787528.841893,5400,11.921854972839355
1712787542.9552095,5500,11.53685474395752
1712787556.8085036,5600,12.710694313049316
1712787571.1658785,5700,11.519402503967285
1712787586.0589018,5800,11.750932693481445
1712787630.7409885,6100,12.148842811584473
1712787645.5349574,6200,11.471744537353516
1712787675.2806804,6400,11.724270820617676
1712787705.331895,6600,13.921460151672363
1712787720.480137,6700,11.7931547164917
1712787735.6467743,6800,12.484804153442383
1712787750.7451718,6900,11.501742362976074
1712787797.3804016,7200,13.685470581054688
1712787813.0216086,7300,12.675152778625488
1712787829.0755937,7400,11.738863945007324
1712787844.5826333,7500,11.292853355407715
1712787925.9585528,8000,11.63685417175293
1712788007.1647158,8500,12.597732543945312
1712788023.1998756,8600,11.437515258789062
1712788039.2423565,8700,11.556653022766113
1712788055.4511812,8800,11.362714767456055
1712788071.8413877,8900,14.026905059814453
1712788088.3154347,9000,13.310667037963867
1712788170.6787446,9500,11.830839157104492
1712788303.2489784,10300,11.530523300170898
1712788353.1724412,10600,11.940982818603516
1712788369.6556194,10700,14.128744125366211
1712788483.8338566,11400,12.68575668334961
1712788532.127294,11700,12.350964546203613
1712788564.416935,11900,11.643316268920898
1712788580.0966475,12000,12.318422317504883
1712788596.4521785,12100,12.056559562683105
1712788661.4971685,12500,13.48948860168457
1712788677.5787523,12600,13.112892150878906
1712788693.4875176,12700,13.411660194396973
1712788740.8211052,13000,12.032661437988281
1712788756.5171285,13100,11.541886329650879
1712788866.5707884,13800,10.561504364013672
1712788897.8466804,14000,12.170480728149414
1712788929.1236236,14200,12.54786491394043
1712788944.7662103,14300,11.427851676940918
1712788960.0649612,14400,12.809042930603027
1712788975.5479636,14500,12.265113830566406
1712789038.123154,14900,12.902130126953125
1712789068.7418585,15100,12.27823257446289
1712789116.1790497,15400,12.02257251739502
1712789131.6460757,15500,11.639322280883789
1712789147.2994878,15600,12.246000289916992
1712789177.8401234,15800,11.78869342803955
1712789193.2245605,15900,14.74846076965332
1712789208.9947278,16000,12.385010719299316
1712789255.4862552,16300,10.331647872924805
1712789286.5488229,16500,12.214188575744629
1712789302.4804347,16600,11.50461196899414
1712789332.4352775,16800,12.012683868408203
1712789347.4157526,16900,12.727185249328613
1712789392.6783352,17200,12.213178634643555
1712789467.580725,17700,12.217853546142578
1712789482.7820046,17800,12.623249053955078
1712789497.3663332,17900,12.438488960266113
1712789526.4870052,18100,11.53624153137207
1712789570.8135545,18400,14.773322105407715
1712789600.399723,18600,12.054317474365234
1712789614.8003683,18700,10.786171913146973
1712789645.7924566,18900,11.780540466308594
1712789674.6229794,19100,11.52039909362793
1712789689.0880723,19200,10.632915496826172
1712789789.9084158,19900,10.723421096801758
1712789903.2270176,20700,11.570730209350586
1712789917.5046232,20800,11.735209465026855
1712789931.72745,20900,13.122673988342285
1712789986.9752433,21300,12.815061569213867
1712790028.309161,21600,10.912714004516602
1712790069.8494184,21900,10.932183265686035
1712790083.3793116,22000,11.916448593139648
1712790123.6962564,22300,11.33735466003418
1712790137.939982,22400,10.864356994628906
1712790164.627307,22600,10.411825180053711
1712790177.7658677,22700,12.04293441772461
1712790191.7506385,22800,10.81087589263916
1712790217.719206,23000,10.915792465209961
1712790256.7866921,23300,11.06081771850586
1712790269.7844996,23400,12.424267768859863
1712790282.9498637,23500,11.579113006591797
1712790322.433852,23800,10.367684364318848
1712790360.6958702,24100,11.172147750854492
1712790424.7928987,24600,10.40503978729248
1713315844.778804,100,11.61441421508789
1713316068.867782,300,12.551436424255371
1713316160.209805,400,13.191977500915527
1713316504.814454,900,12.106493949890137
