Wall time,Step,Value
1713330276.166777,38000,33.70059585571289
1713330335.309619,38200,31.553268432617188
1713330364.8634431,38300,31.304800033569336
1713330453.3315318,38600,28.081342697143555
1713330482.8428283,38700,30.49517059326172
1713330512.3677893,38800,29.336013793945312
1713330541.8110166,38900,29.200895309448242
1713330601.068461,39100,31.21687126159668
1713330630.639682,39200,30.124042510986328
1713330660.1573,39300,31.534881591796875
1713330689.6747024,39400,31.174230575561523
1713330837.2501523,39900,32.081687927246094
1713330955.3190985,40300,31.44646644592285
1713330984.9532764,40400,27.87051010131836
1713331043.9498699,40600,30.21697235107422
1713331132.4975708,40900,29.506694793701172
1713331338.9519262,41600,31.481409072875977
1713331368.4855127,41700,30.388696670532227
1713331486.6694326,42100,31.540950775146484
1713331516.302198,42200,31.062191009521484
1713331545.7928512,42300,31.314992904663086
1713331604.8356414,42500,31.34572982788086
1713331663.9337668,42700,31.849939346313477
1713331722.9628787,42900,29.948753356933594
1713331782.08428,43100,28.954362869262695
1713332047.9244242,44000,32.8469123840332
1713332077.3682156,44100,29.03934097290039
1713332106.8031797,44200,28.36362648010254
1713332136.2480595,44300,29.99810028076172
1713332195.2991357,44500,31.222240447998047
1713332224.8179424,44600,28.108720779418945
1713332313.4937747,44900,27.014169692993164
1713332401.793858,45200,31.047954559326172
1713332490.4192789,45500,30.897218704223633
1713332579.0216832,45800,27.07813262939453
1713332608.4459207,45900,32.42467498779297
1713332637.8635025,46000,29.8270320892334
1713332667.7151606,46100,33.11484909057617
1713332697.2648451,46200,29.42896842956543
1713332756.318761,46400,31.249845504760742
1713332785.76613,46500,28.415725708007812
1713332815.1768537,46600,29.412708282470703
1713332874.3027446,46800,28.428266525268555
1713332903.840629,46900,30.568740844726562
1713332933.3537564,47000,29.175779342651367
1713332992.3496552,47200,30.802005767822266
1713333051.2961311,47400,32.02256774902344
1713333080.8072379,47500,30.326440811157227
1713333199.0292945,47900,29.152942657470703
1713333317.2796943,48300,31.083919525146484
1713333405.9849894,48600,32.32741165161133
1713333435.4765887,48700,32.78398895263672
1713333494.4388542,48900,32.382728576660156
1713333523.9549568,49000,32.13130187988281
1713333582.9426808,49200,29.991483688354492
1713333642.1528227,49400,30.156843185424805
1713333730.6066563,49700,31.282745361328125
1713333938.0692155,50400,28.863842010498047
1713334026.5761013,50700,29.8918514251709
1713334056.160124,50800,31.871837615966797
1713334144.6847584,51100,32.47165298461914
1713334174.296261,51200,31.723400115966797
1713334203.8114324,51300,31.05816078186035
1713334262.8233569,51500,31.741230010986328
1713334292.2996874,51600,32.32307815551758
1713334321.8539934,51700,31.516098022460938
1713334351.3013287,51800,30.34968376159668
1713334410.2559867,52000,31.172325134277344
1713334557.6324744,52500,29.099063873291016
1713334587.2078311,52600,28.97700309753418
1713334764.2607412,53200,29.397737503051758
1713334823.1036224,53400,28.154870986938477
1713334852.6709876,53500,30.173141479492188
1713334882.1664338,53600,28.57841682434082
1713334911.6584935,53700,31.569660186767578
1713334941.1188345,53800,30.882596969604492
1713334970.6724086,53900,32.33736801147461
1713335000.1733603,54000,31.997779846191406
1713335029.6134815,54100,29.729293823242188
1713335059.1487927,54200,31.4530086517334
1713335088.6910505,54300,30.53308868408203
1713335147.8657498,54500,32.64163589477539
1713335236.4688303,54800,31.664438247680664
1713335265.859373,54900,27.38441276550293
1713335295.2638562,55000,28.747529983520508
1713335354.0945995,55200,27.019195556640625
1713335383.7255774,55300,32.41170883178711
1713335472.2067778,55600,29.394481658935547
1713335531.2044013,55800,33.18227767944336
1713335590.2773273,56000,28.910987854003906
1713335619.7662413,56100,31.26070785522461
1713335708.4092484,56400,29.607059478759766
1713335737.9120786,56500,31.67342185974121
1713335767.580704,56600,31.60638999938965
1713335826.5140827,56800,32.64860153198242
1713335855.9576457,56900,29.111404418945312
1713335885.4179647,57000,31.61258316040039
1713335944.4759915,57200,32.56407165527344
1713336003.3985698,57400,30.5570068359375
1713336033.0330818,57500,31.183317184448242
1713336121.5641863,57800,29.889001846313477
1713336151.0373487,57900,32.07756805419922
1713336180.6759615,58000,29.8140926361084
1713336210.064921,58100,30.730194091796875
1713336239.4819329,58200,29.412845611572266
1713336268.897599,58300,31.286800384521484
1713336298.4513395,58400,32.17912673950195
1713336327.932628,58500,29.868478775024414
1713336387.0037057,58700,32.07975387573242
1713336416.5162537,58800,32.44523620605469
1713336534.662642,59200,30.50110626220703
1713336564.3326688,59300,31.834247589111328
1713336593.8322506,59400,31.495161056518555
1713336652.8398182,59600,32.33384704589844
1713336682.3264601,59700,32.85205078125
1713336711.9292343,59800,29.871204376220703
1713336741.3797243,59900,28.86985969543457
1713336800.3023093,60100,30.684795379638672
1713336859.4107206,60300,32.52780532836914
1713336888.9015713,60400,32.513671875
1713336918.4028275,60500,32.991432189941406
1713336977.4899547,60700,31.341630935668945
1713337036.4997828,60900,32.567588806152344
1713337095.5916727,61100,29.454355239868164
1713337125.1048145,61200,32.851261138916016
1713337154.6075044,61300,31.142580032348633
1713337243.160166,61600,32.38227081298828
1713337361.2550213,62000,30.04261016845703
1713337390.725821,62100,31.40559959411621
1713337449.7036388,62300,32.551727294921875
