Wall time,Step,Value
1712738648.1263368,700,21.458843231201172
1712738969.1297376,1300,23.745176315307617
1712739107.7026303,1700,23.596086502075195
1712739199.3819392,2000,24.608150482177734
1712739379.3316104,2600,26.063796997070312
1712739736.636032,3800,23.80327033996582
1712739855.5352721,4200,24.446470260620117
1712739914.9945436,4400,24.878252029418945
1712739974.5247107,4600,23.275917053222656
1712740004.2569444,4700,22.009477615356445
1712740063.8201609,4900,26.37704086303711
1712740242.2894707,5500,27.26251220703125
1712740272.0480084,5600,24.77409553527832
1712740301.7863228,5700,25.8345890045166
1712740331.6183512,5800,25.303565979003906
1712740599.549723,6700,25.74115753173828
1712740688.8788643,7000,25.87874984741211
1712740778.212002,7300,25.92487335205078
1712740807.967609,7400,28.99904441833496
1712740837.7222815,7500,26.857772827148438
1712740867.5925791,7600,27.47646713256836
1712741016.593057,8100,27.34452247619629
1712741255.0398245,8900,25.699993133544922
1712741463.8172271,9600,25.81252098083496
1712741702.445023,10400,29.51664161682129
1712741791.852753,10700,26.978866577148438
1712741821.7505646,10800,25.41963768005371
1712742030.6267102,11500,28.73613739013672
1712742179.9275007,12000,28.00501823425293
1712742418.7432475,12800,29.27344512939453
1712742508.3282478,13100,24.426097869873047
1712742538.13524,13200,29.60893440246582
1712742806.8575428,14100,28.675662994384766
1712742866.5363064,14300,26.927066802978516
1712742896.4884017,14400,26.746179580688477
1712742926.3278794,14500,28.45749855041504
1712743135.3470972,15200,28.258155822753906
1712743284.785414,15700,29.16241455078125
1712743344.4521472,15900,27.594186782836914
1712743374.2880821,16000,26.348342895507812
1712743493.7323577,16400,28.181209564208984
1712743643.124119,16900,28.55038070678711
1712743672.9722443,17000,30.054340362548828
1712743762.6361773,17300,27.80698585510254
1712743941.9112139,17900,30.154573440551758
1712743971.8586237,18000,29.839237213134766
1712744031.5794282,18200,27.127464294433594
1712744121.2522712,18500,28.888233184814453
1712744180.9656038,18700,30.39911460876465
1712744210.8373427,18800,29.775836944580078
1712744270.698151,19000,29.888816833496094
1712744330.4261553,19200,27.347440719604492
1712744360.4078183,19300,29.704980850219727
1712744569.6026118,20000,28.858911514282227
1712744808.89119,20800,30.88262176513672
1712744838.7827363,20900,27.989730834960938
1712744868.6547768,21000,28.362201690673828
1712744988.199117,21400,29.073043823242188
1712745286.968147,22400,28.021503448486328
1712745316.924768,22500,28.796558380126953
1712745376.6561735,22700,29.374107360839844
1712745496.3006465,23100,29.012962341308594
1712745586.0233924,23400,30.537757873535156
1712745615.9176483,23500,29.414016723632812
1712745645.8122227,23600,30.488033294677734
1712745735.7674623,23900,28.12948226928711
1712746096.0500815,25100,31.954736709594727
1712746276.65333,25700,30.976367950439453
1712746366.7736833,26000,27.339618682861328
1712746427.025058,26200,29.901208877563477
1712746457.0744286,26300,28.542375564575195
1712746517.2749426,26500,30.208629608154297
1712746637.4407156,26900,29.19741439819336
1712746757.7538965,27300,26.930200576782227
1712746817.8638473,27500,32.14981460571289
1712746968.1045318,28000,30.79543113708496
1712747388.8401687,29400,31.79949188232422
1712747539.0104454,29900,27.17868423461914
1712747569.0085516,30000,29.012832641601562
1712747688.7534359,30400,28.98902702331543
1712747718.6198118,30500,31.190128326416016
1712747838.392255,30900,31.04700469970703
1712747868.4041162,31000,31.62517547607422
1712747928.2724006,31200,30.906635284423828
1712748018.0210497,31500,30.25396728515625
1712748167.8080668,32000,29.109859466552734
1712748197.8064682,32100,32.08224868774414
1712748377.81328,32700,30.960941314697266
1712748407.8868935,32800,30.271570205688477
1712748437.9031818,32900,28.342792510986328
1712748527.9107857,33200,30.36625099182129
1712748798.477112,34100,30.179479598999023
1712748858.651886,34300,29.12971305847168
1712749039.0838802,34900,31.128238677978516
1712749430.2602108,36200,29.214496612548828
1712749520.5083663,36500,30.814619064331055
1712749640.7652004,36900,29.56557846069336
1712749761.1352065,37300,32.13710403442383
1712749820.9560945,37500,27.14479637145996
1712749940.5817327,37900,28.76957893371582
1712749970.4559245,38000,31.187206268310547
